event_id,video,frame_id,video_time_sec,type,type_cn,confidence,direction,message,bbox,source_frame_ids
8-blind_road_occupied-936,8,936,32.276,blind_road_occupied,盲道占用,0.7613,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 1, 339, 960]","[935, 936]"
8-blind_road_occupied-944,8,944,32.552,blind_road_occupied,盲道占用,0.7678,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 309, 958]","[943, 944]"
8-blind_road_occupied-949,8,949,32.724,blind_road_occupied,盲道占用,0.8714,left_front,前方盲道被占用，建议向左前方绕行。,"[1, 1, 301, 960]","[948, 949]"
8-blind_road_occupied-954,8,954,32.897,blind_road_occupied,盲道占用,0.8995,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 277, 959]","[953, 954]"
8-blind_road_occupied-959,8,959,33.069,blind_road_occupied,盲道占用,0.9012,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 266, 960]","[958, 959]"
8-blind_road_occupied-964,8,964,33.241,blind_road_occupied,盲道占用,0.8744,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 263, 960]","[963, 964]"
8-blind_road_occupied-969,8,969,33.414,blind_road_occupied,盲道占用,0.8773,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 271, 960]","[968, 969]"
8-blind_road_occupied-974,8,974,33.586,blind_road_occupied,盲道占用,0.8844,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 270, 960]","[973, 974]"
8-blind_road_occupied-979,8,979,33.759,blind_road_occupied,盲道占用,0.8502,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 273, 960]","[978, 979]"
8-blind_road_occupied-984,8,984,33.931,blind_road_occupied,盲道占用,0.8330,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 274, 960]","[983, 984]"
8-blind_road_occupied-989,8,989,34.103,blind_road_occupied,盲道占用,0.8848,left_front,前方盲道被占用，建议向左前方绕行。,"[1, 0, 277, 960]","[988, 989]"
8-blind_road_occupied-994,8,994,34.276,blind_road_occupied,盲道占用,0.9077,left_front,前方盲道被占用，建议向左前方绕行。,"[1, 0, 283, 960]","[993, 994]"
8-blind_road_occupied-999,8,999,34.448,blind_road_occupied,盲道占用,0.8750,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 291, 960]","[998, 999]"
8-blind_road_occupied-1004,8,1004,34.621,blind_road_occupied,盲道占用,0.8671,left_front,前方盲道被占用，建议向左前方绕行。,"[1, 0, 273, 960]","[1003, 1004]"
8-blind_road_occupied-1009,8,1009,34.793,blind_road_occupied,盲道占用,0.8783,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 257, 960]","[1008, 1009]"
8-blind_road_occupied-1014,8,1014,34.966,blind_road_occupied,盲道占用,0.8285,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 0, 249, 960]","[1013, 1014]"
8-blind_road_occupied-1022,8,1022,35.241,blind_road_occupied,盲道占用,0.6395,left_front,前方盲道被占用，建议向左前方绕行。,"[0, 1, 259, 960]","[1021, 1022]"
